gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000105722,952.8217912512968,1.8450392875617034,0.2906053722472704,6.348951064785532,2.1678797329128793e-10,5.4028236217864696e-9
ENSG00000079432,1159.0401092508853,2.88245807858446,0.4362908764782038,6.60673471297872,3.928891577126273e-11,1.1475120522104947e-9
ENSG00000079462,189.85679993805033,3.4302285299144644,0.33577460391368175,10.215866506676843,1.683680373729444e-24,6.781430047221238e-22
ENSG00000188368,9.57180296031202,2.197451982909442,0.6772397656906114,3.2447178890456954,0.0011756703436459207,0.004723108079396064
ENSG00000167619,2.10177553506795,4.6736128306525195,1.9797486413498,2.360710209891107,0.018239977626082367,0.04669763392234251
ENSG00000079435,102.7448382376403,4.03256309480035,0.5765997484644877,6.99369554971062,2.677382369067263e-12,1.0023926914594855e-10
ENSG00000079385,2686.769934333636,-5.685040912268504,0.9812869707027814,-5.793453986449013,6.895338331769252e-9,1.258701672667703e-7
ENSG00000243167,7.176232058286812,4.992291133329097,1.190461804936292,4.193575226545182,2.7459195714002793e-5,1.8854732397472688e-4
ENSG00000221826,435.3928629501268,-6.2326297884712645,1.48778495421645,-4.189200711304217,2.799387204451781e-5,1.9168164866896042e-4
ENSG00000124467,57.213216541310665,-4.35251234914329,1.0372916064025104,-4.196035446809875,2.716277541715716e-5,1.8696494700034416e-4
ENSG00000170848,158.6008760962924,-7.219919013739081,1.5052335264047167,-4.796544115638997,1.6142641824381227e-6,1.601565560740755e-5
ENSG00000221878,78.39547360409968,-3.9879329487919764,1.6320332413045047,-2.443536594637234,0.014544094507005329,0.03865422818528492
ENSG00000282943,5.672357455314297,-3.3131859327586173,1.1884956598054417,-2.7877139520231737,0.005308139048052615,0.016642165512613924
ENSG00000243130,107.04063997299401,-6.151132311482766,1.5022571618360065,-4.094593434299268,4.2290984290829455e-5,2.7552581782170444e-4
ENSG00000242221,249.20524283610885,-7.2958720125398875,2.0525711832973403,-3.554503771615598,3.786930800722422e-4,0.0017948815792005967
ENSG00000204941,162.73729767563532,-5.018033214615847,1.063287608367876,-4.719356432939552,2.3659195284537816e-6,2.2464540861044804e-5
ENSG00000241104,6.275559904760595,-3.048688945984659,1.2621739972525854,-2.4154268370453185,0.01571677962856676,0.041239825668232546
ENSG00000183668,200.02781258364337,-4.424529512803157,1.5940411421708396,-2.7756683285963537,0.005508837441964524,0.017155092729858847
ENSG00000176531,98.02698419382172,1.8218246875947948,0.4945925560492904,3.6834858618721995,2.3006604985066203e-4,0.0011720133408549024
ENSG00000105755,319.06150330855775,1.558639530987815,0.28587797147454413,5.452114840987681,4.977429356551268e-8,7.528550326577726e-7
ENSG00000176472,27.340517427615598,2.295896066252375,0.4713715320302307,4.8706718803398825,1.1121940304975224e-6,1.1650045859724887e-5
ENSG00000073050,508.800920158937,1.4921136961244401,0.37065025128983753,4.025664871214809,5.681455638319201e-5,3.551371969965134e-4
ENSG00000131116,246.8023685302674,2.0821571869215143,0.374106700696457,5.56567734030227,2.6113605191888026e-8,4.2017329178597146e-7
ENSG00000011422,848.7470835609726,2.1159648841695162,0.7182363994724013,2.9460563203478016,0.003218537908433017,0.010944080698446254
ENSG00000104783,23.96879366537867,4.271320317852442,0.7394884103531671,5.776047681142876,7.647571000704416e-9,1.3848813852762197e-7
ENSG00000167637,296.8980643108823,-1.4779550446744463,0.31838195424405913,-4.642081703982204,3.4491641020343925e-6,3.1230067424221484e-5
ENSG00000176222,85.66559509367501,-1.2951821359665185,0.500742967288919,-2.586520871134319,0.009695029870828372,0.02765010118025652
ENSG00000278917,22.76711843149437,-2.157001429788918,0.5262758264079471,-4.0986139236365,4.1563165135425924e-5,2.713026831888909e-4
ENSG00000124459,560.8489417318849,-1.2526842856119444,0.26320904372198595,-4.759275243350262,1.942893391341533e-6,1.8959724020547383e-5
ENSG00000159905,116.48470447306362,-2.621753680011003,0.3524126676302811,-7.439442224481855,1.011113098444714e-13,4.960612238577878e-12
ENSG00000204920,169.39771568712763,-1.5408927975646693,0.3605071211396876,-4.274236782600506,1.9179313101024525e-5,1.3792644968711382e-4
ENSG00000277806,12.273334658189835,-1.9479479735494551,0.6672252975751299,-2.91947559636723,0.0035062084534044544,0.011719587404419226
ENSG00000159882,131.25675931419903,-1.2261802007140805,0.40960282637256085,-2.9935833489556747,0.002757221869309592,0.009620208897527663
ENSG00000159885,105.72443108899274,-1.3479094393866546,0.44970123171883775,-2.9973443351149074,0.0027234290609223924,0.009521135448600586
ENSG00000178386,40.17278159057324,-1.7992785682086725,0.5953054835595625,-3.0224458163060883,0.0025074096708988048,0.008885346147535824
ENSG00000256294,287.33813541495056,-1.4547848964910577,0.4103439219781728,-3.5452819417377435,3.921933391328156e-4,0.0018482453415407949
ENSG00000263002,384.49747021328307,-1.2512846190071891,0.3009156031582105,-4.158257683797504,3.206841614220761e-5,2.161437214313653e-4
ENSG00000131115,424.2077660308533,-1.430227567809951,0.32033695007279983,-4.464759895743895,8.01585931869408e-6,6.478059511534905e-5
ENSG00000159917,147.85446461378152,-1.8369536323392988,0.42199192197214896,-4.353054019978458,1.3425405208225844e-5,1.0140932209915783e-4
ENSG00000159915,60.860138505102725,-1.930774791025109,0.3981601139369677,-4.849242109998913,1.2393407976861395e-6,1.2799345905632041e-5
ENSG00000062370,264.29071137468804,-1.404072198489155,0.3670558679675137,-3.8252274953779586,1.3065138187968355e-4,7.253504464872071e-4
ENSG00000267508,201.72204298155478,-1.3678343202599559,0.3990372740039387,-3.427835967640594,6.084129574181114e-4,0.00268755797051726
ENSG00000278318,378.7919091405332,-1.4964382484030936,0.3076107316753464,-4.86471405029666,1.1462240035155566e-6,1.1971353331572763e-5
ENSG00000176761,9.778145057059087,-2.2721695301537777,0.8902159475537911,-2.552380168427035,0.010698970615225676,0.030009512996003098
ENSG00000167384,300.9076458264342,-1.0830961239199173,0.3223736534493151,-3.359753851876751,7.801194466011982e-4,0.0033244271024786896
ENSG00000069399,245.75944102414422,1.914600932283333,0.4136246700121112,4.628836409170837,3.677261109387692e-6,3.300811086399333e-5
ENSG00000187244,540.9706544445248,2.3260976008498466,0.45602963259148344,5.100759763420005,3.382927339658096e-7,4.155359642200786e-6
ENSG00000130202,2723.366981219629,2.1389045295893077,0.36199773340638536,5.908613044237307,3.450000297745701e-9,6.746547175826598e-8
